Station ID,Frequency
3014.0,4.4636871508379885
3042.0,3.798882681564246
3031.0,2.1675977653631286
3005.0,1.4748603351955307
3082.0,1.441340782122905
3023.0,1.4078212290502794
3069.0,1.3798882681564246
3030.0,1.3575418994413408
3067.0,1.312849162011173
3064.0,1.312849162011173
3006.0,1.1284916201117319
3047.0,1.111731843575419
3038.0,1.0726256983240223
3063.0,1.0558659217877095
3055.0,1.0502793296089385
3022.0,1.0391061452513966
3035.0,0.9608938547486033
3034.0,0.888268156424581
3074.0,0.88268156424581
3032.0,0.8770949720670391
3049.0,0.8491620111731844
3048.0,0.8268156424581006
3058.0,0.7877094972067039
3062.0,0.7318435754189944
3075.0,0.7318435754189944
3056.0,0.7206703910614525
3016.0,0.6480446927374302
3076.0,0.6424581005586593
3051.0,0.6201117318435754
3037.0,0.6145251396648045
3021.0,0.6089385474860335
3008.0,0.5698324022346368
3007.0,0.5307262569832403
3026.0,0.4972067039106145
3029.0,0.4860335195530726
3019.0,0.4692737430167598
3027.0,0.44692737430167595
3066.0,0.43575418994413406
3036.0,0.43575418994413406
3011.0,0.4301675977653631
3018.0,0.4134078212290503
3046.0,0.40782122905027934
3052.0,0.3743016759776536
3068.0,0.329608938547486
3054.0,0.30726256983240224
3077.0,0.2737430167597765
3065.0,0.26256983240223464
3024.0,0.22346368715083798
3059.0,0.20670391061452514
3079.0,0.19553072625698323
3025.0,0.18435754189944134
3057.0,0.18435754189944134
3028.0,0.16759776536312848
3020.0,0.16759776536312848
3045.0,0.1564245810055866
3078.0,0.15083798882681565
3040.0,0.13966480446927373
3033.0,0.12849162011173185
3060.0,0.11731843575418995
3081.0,0.09497206703910614
3010.0,0.05027932960893855
4108.0,0.03910614525139665
3080.0,0.0335195530726257
